1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
2,3,3,3,3,3,3,2
2,2,4,4,4,4,4,2
2,2,4,4,4,4,5,2
1,1,1,5,5,5,6,1
2,2,2,2,2,2,2,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,7,1
2,2,4,4,4,4,5,2
2,2,4,4,4,4,5,2
2,2,4,4,4,4,5,2
2,2,4,4,4,4,5,2
2,2,2,2,2,2,2,2
1,1,1,1,1,1,7,1
1,1,1,1,1,1,1,1
3,4,5,6,6,6,8,2
2,2,4,4,4,4,5,2
2,2,2,2,2,7,2,2
2,2,4,4,4,4,5,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,1,1
2,3,3,2,2,7,2,2
3,4,5,6,6,8,9,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,1,1
3,4,5,6,6,8,9,2
2,2,2,2,2,2,2,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,7,1
2,2,4,4,4,4,5,2
3,4,5,6,6,6,8,2
1,1,1,1,1,1,7,1
2,2,4,4,4,4,5,2
4,3,3,3,3,3,3,1
2,2,4,4,4,4,5,2
3,4,5,6,6,8,9,2
2,2,4,4,4,8,4,2
1,1,1,1,1,1,7,1
3,4,5,6,6,8,9,2
1,1,1,1,1,1,1,1
2,2,4,4,4,4,5,2
3,4,5,6,6,6,8,2
3,4,5,6,6,6,8,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,1,1
3,4,5,6,6,8,9,2
2,2,4,4,4,4,5,2
2,3,3,2,2,7,2,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,7,1
2,2,4,4,4,4,5,2
2,2,2,2,2,2,2,2
2,2,2,2,2,9,10,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,7,1
2,2,4,4,4,4,5,2
3,4,5,6,6,8,9,2
2,2,2,2,2,2,2,2
2,3,3,2,2,7,2,2
1,1,1,1,1,1,1,1
3,4,5,6,6,6,8,2
3,4,5,6,6,6,9,2
1,1,1,1,1,1,7,1
2,2,4,4,4,4,5,2
2,2,4,4,4,4,4,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
2,2,4,4,4,4,5,2
1,1,1,1,1,1,1,1
1,1,1,1,1,1,7,1
3,4,5,6,6,6,8,2
2,3,3,3,3,3,3,2
3,4,5,6,6,6,8,2
3,4,5,6,6,6,8,2
4,3,3,3,3,3,3,2
2,2,4,4,4,4,5,2
2,2,4,4,4,4,5,2
2,3,3,2,2,7,2,2
3,4,5,6,6,6,8,2
3,4,5,6,6,6,8,2
2,2,4,4,4,4,5,2
2,3,3,3,3,3,3,2
2,2,4,4,4,4,4,2
2,2,4,4,4,4,4,2
1,1,1,5,5,5,6,1
2,2,4,4,4,4,5,2
2,2,4,4,4,4,5,2
3,4,5,6,6,8,9,2
1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2
4,3,3,3,3,3,3,2
2,2,4,4,4,4,5,2
