1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2
1,1,1,1,1,2,3,2,1,2,2,2,1,2,2,2
1,2,1,1,1,1,2,1,3,3,3,1,3,3,3,1
1,1,1,1,1,1,3,2,4,4,4,3,4,4,4,1
1,1,1,1,1,1,4,1,4,5,5,4,5,5,5,1
1,1,1,1,1,2,2,1,1,6,2,5,2,6,6,2
1,1,1,1,1,1,2,1,2,3,1,6,6,1,1,1
1,1,1,1,1,2,2,2,2,7,6,7,3,3,7,2
1,1,1,1,1,2,4,2,4,1,1,1,7,1,8,1
1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2
1,1,1,1,1,2,2,2,2,7,7,3,2,7,8,2
1,1,1,1,1,2,2,2,2,2,8,7,8,8,9,2
1,1,1,1,1,2,2,2,2,2,2,2,8,8,9,2
1,1,1,1,1,2,2,2,2,2,8,6,8,8,10,2
1,1,1,1,1,2,2,2,1,8,6,8,1,9,2,2
1,1,1,1,1,1,4,2,4,5,4,9,9,4,11,1
1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2
1,1,1,1,1,2,2,1,1,8,6,8,3,9,12,2
1,1,1,1,1,1,4,2,3,5,8,10,10,10,13,1
1,1,1,1,1,2,3,2,1,4,7,3,4,4,8,1
1,1,1,1,1,1,5,1,4,1,3,9,9,11,3,1
1,1,1,1,1,2,3,2,2,9,7,6,6,4,8,1
1,1,1,1,1,2,2,2,2,5,2,2,1,2,2,1
1,1,1,1,1,2,2,2,1,8,6,8,7,9,14,2
1,1,1,1,1,2,2,1,2,7,6,8,3,3,7,2
1,1,1,1,1,2,2,2,2,2,8,2,1,8,9,2
1,2,2,1,1,1,5,1,3,1,3,1,9,3,3,1
1,1,1,1,1,2,3,2,1,4,7,3,11,4,8,1
1,1,1,1,1,2,2,1,4,1,2,4,2,6,6,1
1,1,1,1,1,2,2,1,1,2,2,5,2,2,6,2
1,1,1,1,1,2,2,1,1,2,2,5,2,6,6,2
1,1,1,1,1,2,3,2,2,2,8,2,10,10,9,2
1,1,1,1,1,2,2,1,1,2,2,5,2,2,6,2
1,1,1,1,1,1,2,1,4,1,5,4,12,6,6,1
1,1,1,1,1,1,4,2,4,4,4,3,4,4,4,1
1,1,1,1,1,1,2,1,1,1,1,6,6,1,1,1
1,1,1,1,1,2,2,1,2,3,1,7,8,12,9,1
1,1,1,1,1,2,2,2,1,6,8,7,10,10,9,2
1,1,1,1,1,2,3,2,2,2,8,2,1,10,10,2
1,1,1,1,1,2,2,2,1,6,1,9,7,13,15,2
1,1,1,1,1,2,2,2,1,2,2,2,1,2,2,1
1,1,3,1,1,1,4,3,5,10,9,11,12,14,16,1
1,1,1,1,1,2,2,2,2,2,1,7,8,12,9,2
1,2,1,1,1,1,4,2,4,4,4,3,4,4,4,1
1,1,1,1,1,2,2,1,1,1,2,5,2,5,6,1
1,1,1,1,1,1,5,1,3,11,4,3,13,7,17,1
1,1,1,1,1,2,3,2,4,4,7,3,4,4,8,1
1,1,1,1,1,2,3,2,1,4,7,3,4,4,8,2
1,1,1,1,1,1,4,2,4,4,4,3,4,4,4,1
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,1
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,1
1,1,4,3,3,4,1,5,7,13,11,13,15,16,19,2
1,1,4,3,3,4,1,5,7,13,11,13,15,16,19,1
1,1,4,3,3,4,1,5,7,13,11,13,15,16,19,1
1,2,2,2,4,3,6,6,8,14,12,14,16,17,20,1
1,3,5,4,4,5,7,6,8,14,12,14,16,17,20,1
1,2,2,2,4,3,6,6,8,14,12,14,16,17,20,1
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,2
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,2
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,2
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,2
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,1
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,1
1,1,1,5,5,6,8,7,9,15,13,15,17,18,21,1
1,1,1,5,5,6,8,7,9,15,13,15,17,18,21,1
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,1
1,1,1,5,5,6,8,7,9,15,13,15,17,18,21,1
1,1,4,3,3,4,1,5,7,13,11,13,15,16,19,1
1,2,2,2,4,3,6,6,8,14,12,14,16,17,20,1
1,1,4,3,3,4,1,5,7,13,11,13,15,16,19,1
1,2,1,5,5,6,8,7,9,15,13,15,17,18,21,1
1,1,4,3,3,4,1,5,7,13,11,13,15,16,19,1
1,2,2,2,2,3,6,4,6,12,10,12,14,15,18,1
1,2,1,5,5,6,8,7,9,15,13,15,17,18,21,1
