1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1,3,1,4,4,4,4,2,4,2,2,2,4,4,2,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1
3,3,3,4,4,5,5,4,5,4,4,4,5,5,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
1,1,1,5,1,6,6,5,4,5,5,5,6,6,5,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
2,4,2,6,5,7,7,6,6,6,6,6,7,7,6,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
1,1,1,1,1,6,6,7,7,7,7,7,6,8,7,8,8,5,5,5,5,5,8,6,8,8,8,6,8,8,8,6,8,6,8,8,8,8,8,8,1
2,2,2,6,5,7,7,6,6,6,6,6,7,7,6,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2
2,2,4,7,6,8,8,8,8,8,8,8,8,9,8,9,9,7,7,7,7,7,9,8,9,9,9,8,9,9,9,8,9,8,9,9,9,9,9,9,2
2,2,2,6,5,7,9,9,6,6,6,6,7,10,6,7,10,6,6,6,8,6,7,7,7,7,7,9,10,10,10,9,10,9,10,10,10,10,10,10,2
1,1,1,5,7,6,4,5,4,9,9,9,4,4,2,4,4,8,8,2,9,2,4,4,4,4,2,2,8,4,4,4,4,4,4,11,4,11,11,11,1
1,1,1,1,1,6,4,2,4,10,2,2,4,4,2,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,11,4,12,4,4,1
2,2,2,6,5,7,9,9,9,11,10,10,9,11,9,10,11,9,9,8,10,8,10,9,10,10,10,10,11,11,11,10,11,10,11,12,11,13,12,12,2
3,3,3,4,4,5,5,4,10,12,11,11,10,12,10,11,12,10,10,9,11,9,11,10,11,11,11,11,12,12,12,11,12,11,12,13,12,14,13,13,1
3,3,3,4,4,5,5,4,5,4,4,4,5,13,11,5,5,4,4,4,4,4,5,11,5,5,5,5,5,5,5,5,5,12,5,5,5,15,5,5,1
1,1,1,1,8,4,4,2,7,2,2,2,4,4,2,4,4,2,2,2,2,2,4,2,2,4,4,4,13,4,4,2,2,4,13,4,4,4,14,2,1
2,2,2,6,5,7,9,9,9,11,6,10,9,10,9,12,10,9,9,8,10,8,12,9,10,12,10,9,10,10,10,9,13,9,10,10,10,16,10,14,2
2,4,4,8,5,9,10,10,11,13,12,12,11,14,12,13,13,11,11,10,12,10,13,12,12,13,12,12,14,13,13,12,14,13,14,14,13,17,15,15,2
1,1,1,2,2,2,2,2,2,2,2,2,12,4,13,14,14,12,12,11,13,11,14,13,13,14,13,13,15,14,14,13,15,14,15,15,14,18,16,16,1
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,4,7,5,9,10,10,11,13,12,12,11,14,12,13,13,11,11,12,14,12,15,14,14,15,14,14,16,15,15,14,16,15,16,16,15,19,17,17,2
2,2,2,6,5,7,9,9,9,11,10,10,9,11,9,10,11,9,9,8,10,8,10,9,10,10,10,10,17,16,11,9,17,16,17,17,16,16,18,18,2
2,2,2,6,5,9,7,6,6,6,13,13,9,15,14,15,15,13,13,13,15,13,16,15,15,16,15,15,18,17,16,15,18,17,18,18,17,20,19,19,2
1,1,1,2,2,2,2,2,2,14,2,2,12,16,15,2,2,14,14,14,16,14,17,16,16,17,16,16,13,2,2,16,19,18,19,19,18,21,20,20,1
2,4,5,8,9,9,7,11,6,6,14,14,13,17,16,16,16,15,15,15,17,15,18,17,17,18,17,17,19,18,17,17,20,19,20,20,19,22,21,21,2
2,2,2,6,5,7,9,9,9,11,10,10,9,11,9,10,11,9,9,8,10,16,10,9,10,10,10,10,17,16,11,10,17,16,17,17,16,16,18,18,2
3,3,3,4,4,5,5,4,5,4,4,4,14,5,4,17,17,4,4,4,4,17,19,18,18,19,18,18,20,19,18,18,21,20,21,21,20,23,22,22,1
2,2,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,19,3,3,3,3,3,19,3,3,3,3,3,3,3,3,3,2
1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,7,2,2,2,2,2,2,2,2,2,15,18,17,18,18,16,16,16,18,18,20,20,20,20,19,19,21,20,20,19,22,21,22,22,21,24,23,23,1
3,3,3,4,4,5,5,4,5,5,15,15,14,5,18,17,17,17,17,17,19,17,19,18,18,19,18,18,20,19,21,18,21,22,21,21,20,23,24,24,1
3,3,3,4,4,5,5,4,5,5,15,15,14,5,18,17,17,17,17,17,19,17,19,18,18,19,18,18,20,19,21,18,21,22,21,21,20,23,24,25,1
3,2,2,9,3,10,11,12,10,12,11,11,10,12,10,11,12,10,18,9,11,19,11,21,21,21,11,20,22,21,22,20,23,23,23,23,22,25,25,26,2
3,3,3,4,4,5,5,4,10,12,11,11,10,12,10,11,12,10,10,9,11,9,11,10,22,11,11,11,12,22,23,21,24,24,24,24,12,26,26,27,1
2,2,2,6,5,7,9,9,9,11,6,10,7,7,6,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,25,7,11,12,23,27,7,28,2
2,4,2,6,5,7,7,6,6,6,13,6,7,19,14,15,15,13,13,13,15,13,16,15,15,16,20,15,23,23,24,15,26,25,25,25,24,28,27,29,2
1,1,1,2,2,2,2,2,2,2,2,2,12,16,13,14,14,18,12,11,13,20,14,13,13,14,13,13,15,14,14,13,15,14,15,15,14,18,16,30,1
2,2,2,6,5,7,9,9,9,11,6,10,16,20,9,15,19,6,19,18,8,8,12,12,23,12,21,9,24,24,25,22,10,26,26,10,25,29,10,31,2
2,2,4,7,6,8,8,8,8,8,8,8,8,9,8,9,9,19,7,19,20,7,21,22,24,22,22,21,25,25,26,23,27,27,27,26,26,30,28,32,2
2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,23,3,22,3,3,27,24,28,28,28,27,27,31,29,33,2
3,3,3,4,4,5,5,4,4,12,15,16,17,21,11,19,20,20,20,20,21,21,22,23,25,24,23,23,26,26,28,25,29,29,29,28,28,32,30,34,1
1,1,1,2,2,2,2,2,2,2,2,2,15,18,17,18,18,16,16,16,18,18,20,20,20,20,19,19,21,20,20,19,22,21,22,29,29,33,31,23,1
3,3,3,3,3,3,12,4,5,4,4,4,5,13,4,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
2,2,2,3,10,3,9,9,3,3,10,10,18,11,9,20,21,3,3,3,22,3,10,3,26,25,3,24,27,27,11,10,30,30,30,30,30,13,32,35,2
2,4,4,7,5,9,10,10,11,13,12,12,11,14,12,13,13,11,11,12,14,12,15,14,14,15,14,14,16,15,15,14,16,15,16,16,15,19,17,17,2
2,2,2,3,5,7,9,9,9,11,10,17,9,22,9,12,11,9,9,8,10,22,23,9,10,10,10,10,27,16,29,24,17,28,31,31,16,34,33,36,2
3,2,6,3,3,3,3,3,12,3,16,18,10,23,10,21,22,10,21,21,11,23,24,24,21,21,24,20,22,21,22,20,23,23,23,23,22,25,25,26,2
2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,19,19,3,3,3,3,3,19,3,3,3,3,3,3,3,3,3,2
2,4,2,6,5,7,7,6,6,6,13,13,7,10,14,7,15,6,6,6,6,6,25,25,23,26,20,9,28,28,24,26,10,31,32,32,10,28,10,10,2
2,4,5,8,9,11,7,11,13,6,14,14,13,17,16,16,16,15,15,15,17,15,18,17,17,18,17,17,19,18,17,17,20,19,20,20,19,22,21,21,2
2,4,2,8,5,9,7,6,6,6,14,13,13,17,16,16,16,13,13,13,23,13,16,26,17,27,20,15,23,17,24,27,31,17,25,33,31,35,34,37,2
3,3,3,4,4,5,5,4,5,4,15,4,14,5,19,22,23,4,4,22,24,24,26,27,27,28,25,5,5,5,30,28,32,22,33,34,20,36,35,38,1
2,2,2,6,5,7,9,9,9,11,6,10,9,10,6,7,10,6,9,6,8,8,12,9,10,12,10,9,10,10,10,9,10,32,10,10,10,10,10,10,2
3,3,3,4,4,5,5,4,5,4,17,4,17,5,18,17,17,17,17,23,19,24,19,18,28,29,26,18,5,19,18,29,33,20,34,34,32,37,35,39,1
2,2,2,6,5,7,9,9,9,11,10,10,9,11,9,10,11,9,9,8,10,8,10,9,10,10,10,10,17,16,11,9,17,16,17,17,16,16,18,18,2
1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,6,6,7,7,7,7,7,19,8,7,8,8,8,8,24,9,25,27,28,29,30,27,25,29,29,31,30,34,33,35,11,33,11,11,40,1
2,2,4,7,6,8,8,8,8,8,8,8,8,9,8,9,9,7,7,7,7,7,9,8,9,9,9,8,9,9,9,8,9,8,9,9,9,9,9,9,2
2,2,4,7,6,8,8,8,8,8,8,8,8,9,8,9,9,7,7,7,7,7,9,8,9,9,9,8,9,9,9,8,9,8,9,9,9,9,9,9,2
2,4,5,10,9,11,13,11,13,15,18,19,20,24,20,23,24,21,22,25,25,26,28,29,30,31,28,26,30,30,32,31,35,34,36,35,34,38,36,41,2
2,4,5,10,9,11,13,11,13,15,19,14,13,24,20,23,24,21,22,25,25,26,28,29,30,31,28,26,31,30,32,31,35,34,7,36,34,38,36,42,2
2,2,4,7,5,9,10,10,11,13,12,12,11,14,12,13,13,11,11,12,14,12,15,14,14,15,14,14,16,15,15,14,16,15,16,16,15,19,17,17,2
2,4,5,10,9,11,13,11,13,15,18,19,20,24,20,23,24,21,22,25,25,26,28,29,30,31,28,26,30,30,32,31,35,34,36,35,34,38,36,41,2
