1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2
2,2,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1
2,1,2,1,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4,5,4,5,5,4,5,5,4,4,4,5,4,5,5,5,5,5,5,5,4,4,5,0,1
1,1,1,1,1,1,1,4,1,1,5,1,1,5,5,5,1,5,5,5,5,5,5,5,6,5,6,6,5,6,6,5,5,5,6,5,6,6,6,6,6,6,6,5,5,6,0,1
1,4,1,4,5,5,5,5,5,5,6,5,6,6,6,6,5,6,6,6,6,6,6,6,7,6,7,7,6,7,7,6,6,6,7,6,7,7,7,7,7,7,7,6,6,7,3,1
2,2,2,2,2,6,6,6,6,6,7,6,7,7,7,7,6,7,7,7,7,7,7,7,8,7,8,8,7,8,8,7,7,7,8,7,8,8,8,8,8,8,8,7,7,8,4,1
2,2,2,2,2,6,6,7,7,7,8,7,8,8,8,8,7,8,8,8,8,8,8,8,9,8,9,9,8,9,9,8,8,8,9,8,9,9,9,9,9,9,9,8,8,9,1,1
2,2,2,5,6,7,2,7,7,7,8,2,9,8,9,9,8,9,9,9,9,9,9,9,10,9,10,10,9,10,10,9,9,9,10,9,10,10,10,10,10,10,10,9,9,10,4,1
1,1,4,5,6,7,7,8,8,8,9,8,10,9,10,10,9,10,10,10,10,10,10,10,11,10,11,11,10,11,11,10,10,10,11,10,11,11,11,11,11,11,11,10,10,11,5,1
1,4,5,6,7,5,7,9,2,9,10,9,11,10,11,11,10,11,11,11,11,11,11,11,12,11,12,12,11,12,12,11,11,11,12,11,12,12,12,12,12,12,12,11,11,12,6,1
2,4,5,5,6,5,2,2,2,2,2,9,2,2,2,2,2,2,2,2,12,2,12,2,2,2,2,2,2,2,2,12,2,2,2,2,2,2,2,13,13,2,2,12,12,13,6,1
2,1,1,1,4,1,4,4,4,4,4,4,5,4,4,4,4,5,5,5,4,4,4,4,5,4,5,5,12,5,5,13,12,5,5,12,5,5,5,5,5,5,5,13,13,6,0,1
1,4,5,4,5,5,5,5,5,5,6,5,6,6,6,6,5,6,6,6,6,6,6,11,7,6,7,7,6,7,7,6,6,6,7,6,7,7,12,7,7,7,7,6,6,7,3,1
1,4,5,6,7,5,7,9,2,9,10,9,11,10,11,11,10,11,11,11,11,11,11,12,12,11,13,12,11,12,12,11,13,12,12,11,12,12,13,12,12,12,13,11,11,14,6,1
2,2,2,2,2,6,6,7,7,7,8,7,8,8,8,8,7,8,8,8,9,12,9,8,13,12,9,9,13,13,9,14,14,13,13,13,13,13,14,14,14,13,14,14,14,15,4,1
1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,12,1,5,1,5,1,6,5,1,6,5,1,13,5,5,14,14,5,14,1,1,15,1,1,1,1,1,1,0,1
1,1,1,6,7,8,7,1,1,1,1,1,1,1,1,1,11,12,13,12,1,13,1,13,1,13,14,1,1,14,14,15,15,15,15,14,1,14,15,16,15,14,15,15,15,16,5,1
1,1,4,5,6,7,2,8,8,8,9,8,10,9,10,10,9,10,10,10,10,10,10,10,11,13,11,11,10,11,15,10,10,10,11,10,15,11,11,11,11,15,16,10,10,17,5,1
1,4,5,6,7,5,7,9,2,9,10,9,11,10,11,11,10,11,11,11,11,11,11,12,12,11,13,12,11,12,12,11,13,12,12,11,12,12,13,13,13,12,13,11,11,14,6,1
1,4,5,6,7,5,7,9,2,9,10,9,11,10,11,11,10,11,11,11,11,11,11,12,12,11,13,12,11,12,12,11,13,12,12,11,12,12,13,13,13,12,13,11,11,14,4,1
2,2,2,5,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,12,2,12,2,2,2,2,2,2,2,2,12,2,2,2,2,2,2,2,13,13,2,2,12,12,13,1,1
3,3,3,3,3,3,8,3,9,10,3,10,12,11,12,12,12,13,14,13,13,14,13,14,14,14,15,13,14,15,16,16,16,16,16,15,16,15,16,17,16,16,17,16,16,18,2,2
2,2,2,4,5,4,5,5,10,5,11,11,6,12,13,13,13,14,15,14,14,15,14,6,15,15,16,14,15,16,17,17,17,17,17,16,17,16,7,18,17,17,18,17,17,19,3,1
1,4,5,6,7,8,7,9,8,11,10,12,13,13,14,14,11,15,16,15,15,16,15,13,16,16,17,15,16,17,18,18,18,18,18,17,18,17,17,19,18,18,19,18,18,20,6,1
