1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,6,5,1
2,2,4,1,1,1,1,1,6,1,1,1,6,6,6,6,7,6,2
2,2,4,4,5,5,6,6,7,6,6,6,7,7,7,7,8,7,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,4,4,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
1,1,2,1,1,2,5,1,1,7,5,7,9,5,1,8,9,1,1
1,1,1,1,1,1,5,5,5,7,5,5,1,5,8,8,10,1,1
3,3,1,1,1,1,5,5,5,5,5,5,5,5,8,9,10,9,1
2,2,4,1,1,4,4,4,4,5,7,8,6,6,6,6,7,6,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,3,3,5,5,6,6,7,6,6,6,10,7,7,7,8,7,2
1,4,5,5,6,6,7,7,8,8,8,9,11,8,9,10,11,10,1
1,1,5,5,6,6,7,7,8,8,8,9,11,8,9,10,11,10,1
1,1,2,1,2,2,2,2,2,2,2,2,9,9,1,11,12,1,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,1,1,1,1,5,5,5,5,7,5,6,6,6,6,10,9,1
2,2,3,3,1,3,3,3,3,5,3,3,12,10,6,9,10,9,2
1,1,2,2,2,2,2,2,2,9,5,2,13,5,10,12,13,11,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,2,3,3,5,7,8,8,9,10,9,10,14,11,11,13,14,12,2
2,2,4,4,4,4,4,4,4,4,4,4,15,4,4,4,4,4,2
1,1,2,2,2,2,2,2,10,2,5,2,2,5,10,8,13,11,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
4,5,6,6,7,8,9,9,11,11,10,11,16,12,12,14,15,13,3
1,1,1,1,1,1,5,5,5,7,5,5,5,5,10,8,13,11,1
3,2,1,1,1,1,5,5,5,5,5,5,5,5,8,9,10,9,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,2,2,2,2,2,2,2,9,2,2,11,12,1,1
4,5,6,6,8,9,9,10,12,11,11,12,17,13,13,15,16,14,3
2,2,3,3,5,5,6,6,7,6,6,6,8,7,7,7,8,7,2
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,2,2,2,2,2,2,2,2,2,2,9,2,2,11,12,1,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,2,3,3,5,5,3,6,3,3,3,6,10,14,3,16,3,8,2
2,2,3,3,5,7,8,8,13,10,9,10,14,11,14,17,17,15,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,4,3,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,1,5,6,10,10,11,14,12,12,13,18,15,5,5,6,5,1
2,2,3,3,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
3,2,1,1,1,1,1,1,6,5,1,1,6,6,6,6,10,9,1
1,1,2,2,2,11,7,12,8,8,8,9,11,8,9,10,11,10,1
1,1,2,2,2,2,11,13,15,13,13,14,19,16,15,18,18,16,1
1,1,2,2,2,2,11,13,15,13,13,14,19,16,15,18,18,16,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,5,7,2,11,7,12,8,8,8,9,11,8,9,10,11,10,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
2,2,3,3,3,7,8,8,13,10,14,10,14,11,16,19,19,17,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
3,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,6,5,1
3,3,1,1,1,1,5,5,5,5,5,5,5,5,8,9,10,9,1
1,1,2,2,2,2,11,2,15,2,15,2,2,17,2,20,20,18,1
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,4,4,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
1,1,2,2,2,12,11,13,15,13,13,14,19,16,15,18,18,16,1
2,2,3,3,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
2,2,3,3,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
1,1,2,2,2,2,2,2,1,14,2,15,9,18,17,11,12,1,1
2,2,3,3,5,5,6,6,7,6,6,6,8,7,7,7,8,7,2
1,3,1,1,1,1,5,5,5,9,5,5,5,5,5,12,6,5,1
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,4,4,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
1,1,2,2,2,2,2,2,2,2,2,2,2,19,10,8,13,11,1
1,1,1,1,1,1,5,5,5,9,5,5,5,5,5,5,6,5,1
3,4,5,5,6,6,7,7,16,15,16,16,20,20,18,21,21,19,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,6,5,5,6,6,7,7,16,10,17,17,21,21,19,22,22,20,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
4,5,7,6,8,9,9,8,9,10,9,10,14,22,11,13,14,12,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
3,4,5,5,6,6,7,7,16,15,16,16,20,15,18,21,21,21,2
2,2,4,4,4,4,5,5,4,9,7,18,5,23,5,5,6,5,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
3,3,1,1,1,1,5,5,5,5,5,5,6,6,8,9,10,9,1
2,2,4,1,1,4,4,4,6,5,7,8,6,6,6,6,7,6,2
1,1,2,2,2,2,11,13,15,13,13,14,19,16,20,18,18,16,1
2,2,3,3,3,3,3,3,3,3,3,3,10,3,3,16,3,22,2
1,1,2,2,2,2,2,2,1,1,1,1,9,1,1,1,1,1,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
1,1,2,1,1,1,5,5,1,1,5,5,9,5,1,8,9,1,1
1,1,2,2,2,2,11,13,15,13,13,14,19,16,15,18,18,16,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,4,5,5,6,6,7,7,16,15,16,16,20,15,18,21,21,21,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,4,4,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
3,3,1,1,1,1,5,5,5,5,5,5,5,24,5,5,6,5,1
4,5,6,6,8,9,9,10,12,11,11,12,17,13,13,15,16,14,3
1,1,8,8,9,12,12,14,17,16,13,19,22,9,15,23,23,23,1
1,1,2,2,2,12,11,13,15,13,13,14,19,16,15,18,18,16,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,1,1,1,1,5,5,5,5,7,18,5,24,5,5,6,5,2
2,2,4,4,4,4,4,4,4,4,4,4,4,6,4,4,7,6,2
4,5,6,6,8,9,9,10,12,11,11,12,23,20,21,24,24,19,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
2,2,4,4,4,4,4,4,4,4,4,4,4,6,4,4,7,6,2
2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
1,1,5,7,2,11,7,12,8,8,8,9,11,8,9,10,11,10,1
2,4,5,5,6,6,7,7,16,15,16,16,20,15,18,21,21,21,2
2,2,4,4,4,4,4,4,4,6,6,6,24,7,7,7,8,8,2
2,2,4,1,1,1,1,1,6,5,1,1,6,6,6,6,7,6,2
1,1,2,2,2,2,11,13,15,2,13,2,19,2,15,20,20,18,1
2,2,1,1,1,1,5,5,5,5,5,5,5,5,5,5,6,5,1
1,1,2,2,9,12,11,13,15,13,13,14,19,16,15,18,18,16,1
2,2,1,1,1,1,1,1,6,17,1,1,6,25,6,5,6,5,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,3,3,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
2,2,3,3,5,5,6,8,7,6,9,10,7,26,7,25,17,7,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,2,3,3,5,5,6,6,7,6,6,6,8,7,7,7,8,8,2
2,2,3,3,3,7,8,8,13,10,9,10,14,11,14,17,17,15,2
2,2,1,1,1,1,5,5,5,5,5,5,5,5,6,9,10,9,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,2,2,2,18,14,2,15,9,18,17,1,12,24,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,2,2,11,7,12,8,8,8,9,11,8,9,10,11,10,1
1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,1
1,1,2,2,2,2,2,2,2,2,2,2,9,2,2,11,12,1,1
2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
1,1,2,2,2,2,11,13,15,13,13,14,19,16,15,18,18,16,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
