1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1
1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,2
2,2,3,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2
3,1,4,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,2
2,2,3,2,2,2,3,3,5,5,5,5,5,6,6,6,6,6,6,6,1
2,2,2,2,2,2,2,5,6,6,6,6,6,7,7,7,7,7,7,7,1
3,1,4,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,2
2,2,2,2,2,2,2,5,6,6,2,2,2,2,2,2,8,2,2,2,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2
1,1,1,3,3,1,5,4,4,4,4,4,4,5,5,5,5,5,5,5,2
2,2,3,2,2,2,3,3,5,5,5,7,5,6,6,6,6,8,6,6,1
2,2,2,2,2,2,2,5,2,2,7,5,7,8,8,8,8,9,8,8,1
2,2,3,2,2,2,3,3,5,5,5,7,5,6,6,6,6,8,6,6,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,2
2,2,3,2,2,2,3,3,5,5,5,7,5,6,6,6,6,8,9,6,1
2,2,5,4,4,4,6,6,7,7,8,8,8,9,9,9,9,10,10,9,1
1,1,1,1,1,1,1,2,1,1,1,1,9,3,3,3,10,3,3,10,2
2,2,3,2,2,2,3,3,5,5,5,7,5,6,6,6,6,8,6,6,1
3,1,4,3,3,3,4,4,4,4,4,9,4,10,10,10,11,11,11,11,2
4,3,6,5,5,5,7,7,8,8,9,10,10,11,11,11,12,12,12,12,2
2,2,2,4,6,6,8,8,9,9,10,11,11,12,12,12,13,13,13,13,1
2,2,3,2,2,2,2,5,6,6,11,12,12,7,7,7,7,7,7,7,1
2,2,2,2,2,2,2,5,6,6,11,12,12,2,2,2,8,14,14,7,1
2,2,2,2,2,2,2,5,6,6,11,12,12,2,2,2,8,14,14,7,1
2,2,1,1,1,7,1,9,10,2,2,2,2,13,13,2,2,2,2,2,1
2,2,3,2,2,2,3,5,5,5,5,12,12,8,6,13,8,14,14,8,1
2,4,5,6,7,8,9,10,11,10,12,13,13,14,14,14,14,15,15,14,1
3,5,4,3,3,3,4,4,4,4,4,14,14,15,15,15,15,16,16,15,2
2,2,2,2,2,2,2,5,6,6,11,2,2,2,2,2,8,2,2,7,1
2,2,2,4,2,6,8,8,9,9,10,15,15,16,12,16,13,13,13,16,1
2,6,3,7,8,9,10,11,12,11,13,16,16,17,16,17,16,17,17,17,1
2,2,3,4,6,6,8,8,9,9,10,11,11,12,12,12,13,13,13,13,1
4,3,6,5,5,5,7,7,8,8,9,14,10,15,11,11,12,18,12,18,2
2,2,3,2,2,2,3,3,5,5,5,7,5,6,6,6,6,8,6,6,1
3,1,4,3,3,10,4,12,13,12,14,17,17,18,17,18,17,19,18,19,2
4,3,6,5,5,5,7,7,8,8,9,10,10,11,11,11,12,12,12,12,2
1,1,1,1,1,1,1,1,1,13,1,1,9,1,18,1,18,20,19,20,2
2,2,2,4,7,11,11,13,6,6,11,18,18,19,19,19,7,21,7,21,1
2,7,1,4,6,6,8,8,9,9,10,15,15,16,12,16,13,13,13,13,1
2,4,5,6,7,8,9,10,11,10,12,13,13,14,20,20,19,22,20,22,1
