1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,2,1
1,3,3,4,4,4,3,2,4,3,3,3,3,3,3,2,3,2,2,3,2,1
2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,2,3,2,2,3,2,1
3,2,2,5,5,5,5,5,5,4,4,4,4,4,4,3,4,3,3,4,3,2
3,2,2,5,5,5,5,6,5,5,5,5,5,5,5,4,5,4,4,5,4,2
2,2,4,6,6,6,6,3,6,6,6,6,6,2,2,5,6,5,2,2,5,2
1,1,1,1,1,1,7,7,7,7,7,7,7,6,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,2,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,7,4,4,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,7,4,4,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,3,7,4,4,1,2,8,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,7,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,3,3,3,3,3,4,4,3,8,8,3,8,7,3,2,3,2,2,3,2,1
1,1,1,7,1,4,1,2,1,1,9,1,1,1,6,1,7,1,1,1,1,1
1,1,1,7,1,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
