1,1,1,1,1,1,1,1,1,1
1,2,2,1,1,2,2,2,2,1
2,3,3,2,2,3,3,3,3,2
2,3,3,2,2,3,3,3,3,2
2,3,3,2,2,3,3,3,3,2
1,2,2,1,1,2,2,2,4,1
2,3,3,2,2,3,3,3,3,2
3,4,4,3,3,4,4,4,5,1
3,5,2,4,4,5,5,5,6,1
3,5,5,5,5,5,6,6,7,1
2,3,3,2,2,6,3,7,8,2
1,2,2,1,1,2,2,2,4,1
2,3,3,2,2,3,3,3,3,2
1,2,2,1,1,2,2,2,4,1
1,2,2,1,1,2,2,2,4,1
2,3,3,2,2,3,3,3,3,2
2,3,3,2,2,6,3,7,8,2
2,3,3,2,2,3,3,3,3,2
1,2,2,1,1,2,2,2,4,1
2,3,3,2,2,6,3,7,8,2
2,3,3,2,2,3,3,3,3,2
1,2,2,1,1,2,2,2,4,1
3,5,2,4,6,7,6,8,6,1
2,3,3,2,2,3,3,3,3,2
2,3,3,2,2,6,3,7,8,2
2,3,3,2,2,3,3,3,3,2
3,5,2,4,6,5,6,8,6,1
2,3,3,2,2,3,3,3,3,2
3,5,2,4,6,7,6,8,6,1
1,1,6,6,7,1,7,9,1,1
2,3,3,2,2,3,3,3,3,2
3,5,5,5,8,8,8,10,9,1
3,5,5,5,5,5,9,6,10,1
2,3,3,2,2,3,3,3,3,2
3,5,2,4,6,7,6,8,6,1
1,2,2,1,1,2,10,11,11,1
2,3,3,2,2,3,3,3,3,2
3,4,5,5,8,8,8,12,12,2
2,3,3,2,2,3,3,3,3,2
3,5,2,4,6,5,6,6,6,1
2,3,3,2,2,3,3,3,3,2
1,1,6,6,7,1,7,1,1,1
2,3,3,2,9,6,3,7,8,2
2,3,3,2,9,6,3,7,8,2
2,3,3,2,2,3,3,7,8,2
3,5,2,4,10,9,5,13,13,1
2,3,3,2,2,3,3,3,3,2
2,3,3,2,9,6,3,7,8,2
2,3,3,2,2,3,3,3,3,2
2,3,3,2,2,6,3,7,8,2
2,3,3,2,2,3,3,3,3,2
2,3,3,2,2,3,3,3,3,2
1,2,2,4,6,7,6,8,4,1
2,3,3,2,9,6,3,7,8,2
2,3,3,2,2,3,3,3,3,2
2,3,3,2,2,3,3,3,3,2
2,3,3,2,9,6,3,7,8,2
2,3,3,2,2,3,3,3,3,2
2,3,3,2,9,10,11,14,14,2
3,5,2,4,6,5,6,8,6,1
3,5,5,5,5,5,9,6,15,1
3,4,4,3,3,4,4,4,5,1
1,2,2,1,1,2,2,2,4,1
2,3,3,2,2,3,3,3,3,2
3,4,4,3,3,4,4,4,5,1
2,3,3,2,9,6,3,7,8,2
3,5,2,4,6,5,6,8,6,1
2,3,3,2,2,3,3,3,3,2
2,3,3,2,9,6,3,7,8,2
1,1,6,6,7,1,7,1,1,1
3,5,2,4,6,7,6,8,6,1
2,3,3,2,2,3,3,3,3,2
2,3,3,2,9,6,3,7,8,2
3,5,5,5,8,8,8,10,12,1
2,3,3,2,2,3,3,3,3,2
1,2,2,1,1,2,2,2,4,1
3,5,5,5,5,5,9,10,9,1
1,2,2,1,1,2,2,2,4,1
2,3,3,2,2,3,3,3,3,2
1,1,6,6,7,1,7,1,1,1
3,5,2,4,6,5,6,6,6,1
3,5,2,4,6,5,6,8,6,1
1,2,2,1,1,2,2,2,4,1
1,2,2,1,1,2,2,2,16,1
1,2,4,3,3,4,4,4,5,1
1,2,2,1,1,2,2,2,4,1
1,2,2,1,1,2,10,13,16,1
1,2,2,1,1,2,2,2,16,1
3,5,2,1,6,7,6,8,6,1
1,2,2,4,6,7,6,8,6,1
3,5,2,4,6,7,6,8,6,1
1,2,2,1,1,2,2,2,4,1
1,2,4,3,3,4,4,4,5,1
3,5,2,5,4,5,9,6,6,1
1,2,2,1,1,2,2,2,4,1
3,5,2,4,4,5,5,8,13,1
3,6,5,5,8,8,8,10,12,2
2,4,4,3,3,4,4,4,5,2
1,1,6,6,7,1,7,1,17,1
3,5,2,4,6,5,6,8,6,1
3,5,2,4,6,7,6,8,6,1
1,1,6,6,7,1,7,9,1,1
1,1,6,6,7,1,7,1,1,1
1,2,2,1,1,2,2,2,4,1
1,2,2,1,1,2,2,2,4,1
1,2,2,1,1,2,2,2,16,1
3,5,2,4,6,5,6,8,6,1
1,2,2,1,1,2,2,2,2,1
1,2,2,1,1,2,2,2,4,1
3,5,5,4,5,5,12,6,7,1
1,2,2,1,1,2,2,2,4,1
3,5,5,5,5,11,9,15,9,1
2,3,3,2,2,3,3,3,3,2
1,2,2,1,1,2,2,2,4,1
1,1,6,6,7,1,7,16,17,1
1,4,4,3,3,4,4,4,5,1
1,2,2,1,1,2,2,2,4,1
1,1,6,6,7,1,7,16,17,1
1,1,6,6,7,1,7,1,18,1
1,2,2,1,1,2,5,2,2,1
1,2,2,1,1,2,2,2,4,1
3,5,2,3,4,12,10,5,6,1
1,1,1,6,7,1,7,1,16,1
1,2,2,1,1,2,2,2,4,1
3,5,2,4,6,5,6,8,6,1
1,4,4,3,3,4,4,4,5,1
1,2,7,1,1,2,13,9,19,1
1,1,6,6,7,1,7,1,1,1
3,4,4,3,3,4,4,4,5,2
1,2,2,1,1,2,2,2,4,1
1,1,6,6,7,1,7,1,1,1
1,2,2,1,1,2,2,2,4,1
1,2,2,1,1,2,2,2,4,1
3,5,5,4,6,5,12,6,7,1
3,5,5,5,5,5,9,10,9,1
2,3,3,2,9,6,3,7,8,2
3,4,4,3,3,4,4,4,5,1
2,4,4,3,3,4,4,4,5,2
1,4,4,3,3,4,4,4,5,1
