1,1,1,1,1,1,1
1,1,1,1,1,1,1
2,2,2,2,2,2,2
3,3,3,3,3,3,1
1,1,1,4,4,4,1
2,2,2,2,5,5,2
3,3,4,5,6,6,1
1,1,1,4,4,4,1
1,1,1,4,4,4,1
3,3,3,3,3,3,1
3,3,4,3,3,7,1
1,1,1,1,1,1,1
1,1,1,4,4,4,1
1,3,3,3,3,3,1
1,1,1,1,1,1,1
2,2,2,2,5,5,2
1,4,5,6,7,8,1
1,4,5,6,7,8,2
3,3,3,3,3,3,1
1,1,1,4,4,4,1
1,1,1,4,4,4,1
3,3,3,3,3,3,1
1,1,1,1,1,1,1
1,1,1,4,4,4,1
1,1,1,1,1,1,1
1,1,1,1,8,9,1
1,1,1,1,1,1,1
3,3,3,3,3,3,1
3,3,3,3,3,3,1
1,1,1,1,1,1,1
1,1,1,4,4,4,1
2,2,2,2,5,5,2
3,3,3,3,3,3,1
1,4,5,6,7,8,1
3,3,4,5,6,6,1
3,3,3,3,3,3,1
1,1,1,4,4,4,1
3,3,4,5,6,6,1
1,1,1,1,1,1,1
3,3,3,3,3,3,1
1,4,5,6,7,8,2
1,1,1,4,4,4,1
3,3,3,3,3,3,1
3,3,4,5,6,6,1
1,1,1,4,4,4,1
3,3,3,3,3,3,1
2,2,2,2,5,5,2
3,3,3,3,3,3,1
2,2,2,2,5,5,2
1,1,1,1,8,9,1
1,1,1,1,1,1,1
3,3,4,5,6,6,1
3,3,3,3,3,3,1
3,3,4,5,6,6,1
1,1,1,1,8,9,1
3,3,3,3,3,3,1
3,3,3,3,3,3,1
1,1,1,4,4,4,1
2,4,5,6,7,8,2
2,2,2,2,2,2,2
3,3,3,3,3,3,1
1,1,1,4,4,4,1
1,1,1,1,1,1,1
3,3,4,3,3,7,1
1,1,1,1,1,1,1
3,3,3,3,3,3,1
2,2,2,2,5,2,2
